model_name,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,mcc,roc_auc_ovr,roc_auc_ovo,pr_auc
xgb,0.9980506822612085,0.996209295709082,0.9645373838955577,0.9792063919001196,0.9980561776548093,0.9980506822612085,0.9980472600249068,0.9951069022841411,0.9999746855656109,0.9996612020090507,0.9823502191052923
rf,0.9979694606887589,0.9469127474112832,0.9682407974366832,0.9568798865240123,0.9979974846499818,0.9979694606887589,0.9979794935315873,0.994903450848582,0.9995079936139226,0.9992267863010772,0.976366367663899
catboost,0.9978882391163093,0.9054898560190195,0.9658977805395313,0.9272659680202818,0.9981000887893984,0.9978882391163093,0.9979663532233409,0.9946996035901201,0.9996900779780155,0.999037067400674,0.9737881872834743
