,precision,recall,f1-score,support
Benign,0.6342651962041549,0.9884092725819345,0.77269176691142,2502.0
Malicious,0.9986007237635706,0.9355392821625531,0.9660419632646393,22122.0
accuracy,0.940911306042885,0.940911306042885,0.940911306042885,0.940911306042885
macro avg,0.8164329599838627,0.9619742773722437,0.8693668650880297,24624.0
weighted avg,0.9615812512995656,0.940911306042885,0.9463960003310885,24624.0
