,precision,recall,f1-score,support,Score
Benign,0.9787143465304385,0.9188649080735412,0.9478458049886621,2502.0,
Malicious,0.9908866442199775,0.9977398065274388,0.9943014167623938,22122.0,
accuracy,0.9897254710851202,0.9897254710851202,0.9897254710851202,0.9897254710851202,0.9897254710851202
macro avg,0.9848004953752081,0.95830235730049,0.971073610875528,24624.0,
weighted avg,0.9896498391184819,0.9897254710851202,0.9895811462678407,24624.0,
ROC_AUC,,,,,0.9957126153340053
