,precision,recall,f1-score,support,Score
Benign,0.9848566792861005,0.9100449775112444,0.945974025974026,2001.0,
Malicious,0.9899159663865547,0.9984179003277206,0.9941487566107798,17698.0,
accuracy,0.9894410883801208,0.9894410883801208,0.9894410883801208,0.9894410883801208,0.9894410883801208
macro avg,0.9873863228363275,0.9542314389194825,0.970061391292403,19699.0,
weighted avg,0.9894020502746703,0.9894410883801208,0.9892552271928325,19699.0,
ROC_AUC,,,,,0.9984566706363172
