model_name,accuracy,precision_macro,recall_macro,f1_macro,precision,recall,f1,mcc,roc_auc_ovr,roc_auc_ovo,pr_auc
catboost,0.998862897985705,0.9958413616448026,0.9979492402823062,0.9968924184876437,0.9996381727725011,0.9990959226109755,0.9993669741363719,0.993788366467577,,,
rf,0.9984161793372319,0.9968012042687395,0.9945103315232273,0.995652359075855,0.9988253896543935,0.9994123496971341,0.9991187834692817,0.991308888740685,,,
xgb,0.9983349577647823,0.9941437982878052,0.996769224165013,0.995452024219382,0.9994119509657574,0.9987342916553656,0.9990730063985168,0.9909095444113668,,,
