,precision,recall,f1-score,support,Score
Benign,0.9767166535122336,0.9892086330935251,0.982922954725973,2502.0,
Malicious,0.998777727478497,0.9973329717023777,0.9980548267438705,22122.0,
accuracy,0.9965074723846654,0.9965074723846654,0.9965074723846654,0.9965074723846654,0.9965074723846654
macro avg,0.9877471904953653,0.9932708023979514,0.9904888907349217,24624.0,
weighted avg,0.9965361417465448,0.9965074723846654,0.9965173046601806,24624.0,
ROC_AUC,,,,,0.996795502753389
